InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536378,20725,LUNCH BAG RED RETROSPOT,10,12/1/2010 9:37,1.65,14688,United Kingdom
536381,22261,FELT EGG COSY WHITE RABBIT ,1,12/1/2010 9:41,0.85,15311,United Kingdom
536395,21314,SMALL GLASS HEART TRINKET POT,8,12/1/2010 10:47,2.1,13767,United Kingdom
536401,85049E,SCANDINAVIAN REDS RIBBONS,2,12/1/2010 11:21,1.25,15862,United Kingdom
536404,85049E,SCANDINAVIAN REDS RIBBONS,12,12/1/2010 11:29,1.25,16218,United Kingdom
536412,22759,SET OF 3 NOTEBOOKS IN PARCEL,5,12/1/2010 11:49,1.65,17920,United Kingdom
536412,21706,FOLDING UMBRELLA RED/WHITE POLKADOT,1,12/1/2010 11:49,4.95,17920,United Kingdom
536446,21890,S/6 WOODEN SKITTLES IN COTTON BAG,2,12/1/2010 12:15,2.95,15983,United Kingdom
536466,22960,JAM MAKING SET WITH JARS,6,12/1/2010 12:23,4.25,14849,United Kingdom
536520,22926,IVORY GIANT GARDEN THERMOMETER,1,12/1/2010 12:43,5.95,14729,United Kingdom
536528,22813,PACK 3 BOXES BIRD PANNETONE ,3,12/1/2010 13:17,1.95,15525,United Kingdom
536532,21166,COOK WITH WINE METAL SIGN ,12,12/1/2010 13:24,1.95,12433,Norway
536540,21056,DOCTOR'S BAG SOFT TOY,4,12/1/2010 14:05,8.95,14911,EIRE
536544,22161,HEART DECORATION RUSTIC HANGING ,10,12/1/2010 14:32,0.81,,United Kingdom
536544,22336,DOVE DECORATION PAINTED ZINC ,4,12/1/2010 14:32,1.28,,United Kingdom
536544,22962,JAM JAR WITH PINK LID,4,12/1/2010 14:32,1.66,,United Kingdom
536556,22694,WICKER STAR ,6,12/1/2010 14:38,2.1,17643,United Kingdom
536575,85099B,JUMBO BAG RED RETROSPOT,70,12/1/2010 16:01,1.65,13777,United Kingdom
536585,37449,CERAMIC CAKE STAND + HANGING CAKES,2,12/1/2010 16:24,9.95,17460,United Kingdom
536591,47591B,SCOTTIES CHILDRENS APRON,1,12/1/2010 16:57,1.65,14606,United Kingdom
536592,20696,FLORAL SOFT CAR TOY,1,12/1/2010 17:06,7.62,,United Kingdom
536592,20973,12 PENCIL SMALL TUBE WOODLAND,15,12/1/2010 17:06,1.28,,United Kingdom
536592,21429,RED GINGHAM ROSE JEWELLERY BOX,3,12/1/2010 17:06,3.36,,United Kingdom
536592,21896,POTTING SHED TWINE,1,12/1/2010 17:06,4.21,,United Kingdom
536602,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/2/2010 8:34,3.39,17850,United Kingdom
536623,22815,CARD PSYCHEDELIC APPLES,24,12/2/2010 10:39,0.42,15601,United Kingdom
536627,22783,SET 3 WICKER OVAL BASKETS W LIDS,1,12/2/2010 10:53,19.95,15658,United Kingdom
536637,22633,HAND WARMER UNION JACK,2,12/2/2010 11:35,2.1,18041,United Kingdom
536638,51014A,"FEATHER PEN,HOT PINK",12,12/2/2010 11:41,0.85,16244,United Kingdom
536638,72741,GRAND CHOCOLATECANDLE,18,12/2/2010 11:41,1.45,16244,United Kingdom
536638,47590B,PINK HAPPY BIRTHDAY BUNTING,3,12/2/2010 11:41,5.45,16244,United Kingdom
536674,20986,BLUE CALCULATOR RULER,4,12/2/2010 12:16,1.25,15923,United Kingdom
536749,90186A,AMETHYST HOOP EARRING FLORAL LEAF,1,12/2/2010 13:49,2.95,17976,United Kingdom
536749,21415,CLAM SHELL SMALL ,2,12/2/2010 13:49,2.1,17976,United Kingdom
536759,84683,CLASSICAL ROSE CANDLESTAND,24,12/2/2010 14:26,1.25,16781,United Kingdom
536796,20751,FUNKY WASHING UP GLOVES ASSORTED,1,12/2/2010 15:46,2.1,15574,United Kingdom
536797,90002D,FLOWER BURST SILVER RING CRYSTAL,4,12/2/2010 15:49,3.75,16770,United Kingdom
536800,22730,ALARM CLOCK BAKELIKE IVORY,4,12/2/2010 16:12,3.75,14829,United Kingdom
536813,22043,CHRISTMAS CARD SCREEN PRINT ,12,12/2/2010 16:59,0.42,15646,United Kingdom
536845,21479,WHITE SKULL HOT WATER BOTTLE ,2,12/2/2010 19:18,3.75,17961,United Kingdom
536846,21156,RETROSPOT CHILDRENS APRON,2,12/2/2010 19:59,1.95,14573,United Kingdom
536846,20728,LUNCH BAG CARS BLUE,2,12/2/2010 19:59,1.65,14573,United Kingdom
536849,22730,ALARM CLOCK BAKELIKE IVORY,19,12/3/2010 9:45,3.75,17396,United Kingdom
536859,22585,PACK OF 6 BIRDY GIFT TAGS,10,12/3/2010 10:43,1.25,12841,United Kingdom
536862,22200,FRYING PAN PINK POLKADOT,1,12/3/2010 11:13,8.47,,United Kingdom
536862,72349b,SET/6 PURPLE BUTTERFLY T-LIGHTS,1,12/3/2010 11:13,4.21,,United Kingdom
536865,21942,SKULLS DESIGN FLANNEL,1,12/3/2010 11:28,1.66,,United Kingdom
536865,82580,BATHROOM METAL SIGN,2,12/3/2010 11:28,1.28,,United Kingdom
536874,21907,I'M ON HOLIDAY METAL SIGN,1,12/3/2010 11:35,2.1,16891,United Kingdom
536874,21462,"NURSERY A,B,C PAINTED LETTERS",1,12/3/2010 11:35,6.75,16891,United Kingdom
536874,22405,MONEY BOX POCKET MONEY DESIGN,1,12/3/2010 11:35,1.25,16891,United Kingdom
536874,20751,FUNKY WASHING UP GLOVES ASSORTED,1,12/3/2010 11:35,2.1,16891,United Kingdom
536876,22358,KINGS CHOICE TEA CADDY ,1,12/3/2010 11:36,5.91,,United Kingdom
536876,22757,LARGE RED BABUSHKA NOTEBOOK ,2,12/3/2010 11:36,2.51,,United Kingdom
536876,75131,METAL TUBE CHIME ON BAMBOO,1,12/3/2010 11:36,3.36,,United Kingdom
536876,20685,DOORMAT RED RETROSPOT,1,12/3/2010 11:36,14.43,,United Kingdom
536876,21876,POTTERING MUG,1,12/3/2010 11:36,3.36,,United Kingdom
536943,22748,POPPY'S PLAYHOUSE KITCHEN,2,12/3/2010 12:11,2.1,17884,United Kingdom
536945,21913,VINTAGE SEASIDE JIGSAW PUZZLES,1,12/3/2010 12:24,3.75,14083,United Kingdom
536945,22029,SPACEBOY BIRTHDAY CARD,12,12/3/2010 12:24,0.42,14083,United Kingdom
536969,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,192,12/3/2010 13:10,2.75,16013,United Kingdom
536982,22082,RIBBON REEL STRIPES DESIGN ,1,12/3/2010 14:27,4.21,,United Kingdom
536984,21558,SKULL LUNCH BOX WITH CUTLERY ,2,12/3/2010 14:35,2.55,17841,United Kingdom
536988,22837,HOT WATER BOTTLE BABUSHKA ,4,12/3/2010 15:05,4.65,17238,United Kingdom
536989,21992,VINTAGE PAISLEY STATIONERY SET,1,12/3/2010 15:10,2.95,17238,United Kingdom
537003,85126,,-2,12/3/2010 15:33,0,,United Kingdom
537022,22307,GOLD MUG BONE CHINA TREE OF LIFE,6,12/3/2010 15:45,1.95,12725,Italy
537034,20963,APPLE BATH SPONGE,20,12/3/2010 17:20,1.25,13081,United Kingdom
537047,22735,RIBBON REEL SOCKS AND MITTENS,2,12/5/2010 11:02,1.65,13069,United Kingdom
537047,22077,6 RIBBONS RUSTIC CHARM,1,12/5/2010 11:02,1.65,13069,United Kingdom
537050,22620,4 TRADITIONAL SPINNING TOPS,5,12/5/2010 11:10,1.25,14800,United Kingdom
537051,22300,COFFEE MUG DOG + BALL DESIGN,6,12/5/2010 11:12,2.55,15708,United Kingdom
537051,22799,SWEETHEART WIRE FRUIT BOWL,1,12/5/2010 11:12,8.5,15708,United Kingdom
537057,22617,BAKING SET SPACEBOY DESIGN,1,12/5/2010 11:49,4.95,15351,United Kingdom
537065,22614,PACK OF 12 SPACEBOY TISSUES,24,12/5/2010 11:57,0.29,12567,France
537077,22636,CHILDS BREAKFAST SET CIRCUS PARADE,3,12/5/2010 11:59,8.5,17062,United Kingdom
537126,21239,PINK  POLKADOT CUP,1,12/5/2010 12:13,0.85,18118,United Kingdom
537126,84596G,SMALL CHOCOLATES PINK BOWL,1,12/5/2010 12:13,1.25,18118,United Kingdom
537133,21210,SET OF 72 RETROSPOT PAPER  DOILIES,1,12/5/2010 12:29,1.45,18156,United Kingdom
537133,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,12/5/2010 12:29,3.75,18156,United Kingdom
537135,22581,WOOD STOCKING CHRISTMAS SCANDISPOT,2,12/5/2010 12:35,0.85,17059,United Kingdom
537135,20713,JUMBO BAG OWLS,2,12/5/2010 12:35,1.95,17059,United Kingdom
537137,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,36,12/5/2010 12:43,0.85,16327,United Kingdom
537137,22381,TOY TIDY PINK POLKADOT,3,12/5/2010 12:43,2.1,16327,United Kingdom
537137,20728,LUNCH BAG CARS BLUE,3,12/5/2010 12:43,1.65,16327,United Kingdom
C537143,20685,DOORMAT RED RETROSPOT,-1,12/5/2010 12:58,7.95,12748,United Kingdom
537155,21479,WHITE SKULL HOT WATER BOTTLE ,1,12/5/2010 13:05,3.75,12748,United Kingdom
537196,21904,HOUSE WRECKING METAL SIGN ,1,12/5/2010 13:55,2.1,15426,United Kingdom
537197,POST,POSTAGE,3,12/5/2010 14:02,18,12647,Germany
537200,22077,6 RIBBONS RUSTIC CHARM,2,12/5/2010 14:17,1.65,15867,United Kingdom
537200,21479,WHITE SKULL HOT WATER BOTTLE ,1,12/5/2010 14:17,3.75,15867,United Kingdom
537202,22273,FELTCRAFT DOLL MOLLY,1,12/5/2010 14:25,2.95,14506,United Kingdom
537204,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,5,12/5/2010 14:45,0.85,15555,United Kingdom
537208,21890,S/6 WOODEN SKITTLES IN COTTON BAG,1,12/5/2010 15:12,2.95,15889,United Kingdom
537209,22096,PINK PAISLEY SQUARE TISSUE BOX ,1,12/5/2010 15:12,1.25,14606,United Kingdom
537209,20655,QUEEN OF SKIES LUGGAGE TAG,1,12/5/2010 15:12,1.25,14606,United Kingdom
537218,22030,SWALLOWS GREETING CARD,12,12/5/2010 15:46,0.42,12763,Japan
537222,21385,IVORY HANGING DECORATION  HEART,1,12/5/2010 16:00,0.85,14404,United Kingdom
537225,22077,6 RIBBONS RUSTIC CHARM,1,12/5/2010 16:41,1.65,12748,United Kingdom
537225,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,2,12/5/2010 16:41,2.1,12748,United Kingdom
537237,20961,STRAWBERRY BATH SPONGE ,1,12/6/2010 9:58,2.51,,United Kingdom
537237,20966,SANDWICH BATH SPONGE,3,12/6/2010 9:58,2.51,,United Kingdom
537237,21915,RED  HARMONICA IN BOX ,5,12/6/2010 9:58,2.51,,United Kingdom
537237,22169,FAMILY ALBUM WHITE PICTURE FRAME,1,12/6/2010 9:58,16.98,,United Kingdom
537237,22798,ANTIQUE GLASS DRESSING TABLE POT,2,12/6/2010 9:58,5.91,,United Kingdom
537237,85099C,JUMBO  BAG BAROQUE BLACK WHITE,1,12/6/2010 9:58,4.21,,United Kingdom
537240,22413,METAL SIGN TAKE IT OR LEAVE IT ,3,12/6/2010 10:08,5.91,,United Kingdom
537240,22457,NATURAL SLATE HEART CHALKBOARD ,5,12/6/2010 10:08,5.91,,United Kingdom
537240,22607,WOODEN ROUNDERS GARDEN SET ,1,12/6/2010 10:08,16.98,,United Kingdom
537240,20996,JAZZ HEARTS ADDRESS BOOK,12,12/6/2010 10:08,0.84,,United Kingdom
537240,21888,BINGO SET,1,12/6/2010 10:08,7.62,,United Kingdom
537240,22297,HEART IVORY TRELLIS SMALL,1,12/6/2010 10:08,2.51,,United Kingdom
537240,35916A,YELLOW FELT HANGING HEART W FLOWER,5,12/6/2010 10:08,1.66,,United Kingdom
537244,21790,VINTAGE SNAP CARDS,72,12/6/2010 10:20,0.72,17674,United Kingdom
537253,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,12/6/2010 10:53,2.95,,United Kingdom
537254,21843,RED RETROSPOT CAKE STAND,1,12/6/2010 11:01,10.95,15898,United Kingdom
537254,22568,FELTCRAFT CUSHION OWL,2,12/6/2010 11:01,3.75,15898,United Kingdom
537254,37479B,CUBIC MUG FLOCK BLUE ON BROWN,1,12/6/2010 11:01,2.55,15898,United Kingdom
537255,22694,WICKER STAR ,6,12/6/2010 11:03,2.1,14443,United Kingdom
537256,22041,"RECORD FRAME 7"" SINGLE SIZE ",48,12/6/2010 11:06,2.1,16210,United Kingdom
537257,20897,VINTAGE NOTEBOOK PARIS DAYS,6,12/6/2010 11:10,2.95,17691,United Kingdom
537262,22691,DOORMAT WELCOME SUNRISE,1,12/6/2010 11:26,7.95,15039,United Kingdom
537265,21260,FIRST AID TIN,1,12/6/2010 11:26,3.25,15919,United Kingdom
537265,22413,METAL SIGN TAKE IT OR LEAVE IT ,1,12/6/2010 11:26,2.95,15919,United Kingdom
537334,22941,CHRISTMAS LIGHTS 10 REINDEER,1,12/6/2010 12:06,8.5,16719,United Kingdom
537354,22563,HAPPY STENCIL CRAFT,1,12/6/2010 12:23,1.25,12748,United Kingdom
537362,79030G,"TUMBLER, NEW ENGLAND",2,12/6/2010 12:34,1.65,17596,United Kingdom
537362,22557,PLASTERS IN TIN VINTAGE PAISLEY ,3,12/6/2010 12:34,1.65,17596,United Kingdom
537366,22569,FELTCRAFT CUSHION BUTTERFLY,10,12/6/2010 12:39,3.75,14085,United Kingdom
537391,22457,NATURAL SLATE HEART CHALKBOARD ,5,12/6/2010 13:53,2.95,16550,United Kingdom
537392,22367,CHILDRENS APRON SPACEBOY DESIGN,2,12/6/2010 13:58,1.95,17068,United Kingdom
537393,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,2,12/6/2010 13:59,9.95,13089,United Kingdom
537394,22960,JAM MAKING SET WITH JARS,6,12/6/2010 14:00,4.25,13089,United Kingdom
537397,22834,HAND WARMER BABUSHKA DESIGN,12,12/6/2010 14:19,2.1,16817,United Kingdom
537419,21812,GARLAND WITH HEARTS AND BELLS,6,12/6/2010 15:14,4.95,13495,United Kingdom
537420,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,36,12/6/2010 15:18,0.85,17519,United Kingdom
537421,21890,S/6 WOODEN SKITTLES IN COTTON BAG,3,12/6/2010 15:25,2.95,17218,United Kingdom
537421,22810,SET OF 6 T-LIGHTS SNOWMEN,2,12/6/2010 15:25,2.95,17218,United Kingdom
537434,21239,PINK  POLKADOT CUP,1,12/6/2010 16:57,1.66,,United Kingdom
537434,21870,I CAN ONLY PLEASE ONE PERSON MUG,1,12/6/2010 16:57,3.36,,United Kingdom
537434,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,23,12/6/2010 16:57,5.91,,United Kingdom
537434,22141,CHRISTMAS CRAFT TREE TOP ANGEL,5,12/6/2010 16:57,4.21,,United Kingdom
537434,22310,IVORY KNITTED MUG COSY ,1,12/6/2010 16:57,3.36,,United Kingdom
537434,22508,DOORSTOP RETROSPOT HEART,2,12/6/2010 16:57,7.62,,United Kingdom
537434,22576,SWALLOW WOODEN CHRISTMAS DECORATION,9,12/6/2010 16:57,1.66,,United Kingdom
537434,84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,6,12/6/2010 16:57,0.85,,United Kingdom
537459,22189,CREAM HEART CARD HOLDER,4,12/7/2010 9:57,3.95,17470,United Kingdom
537484,84949,SILVER HANGING T-LIGHT HOLDER,24,12/7/2010 11:30,1.65,14733,United Kingdom
537489,21918,SET 12 KIDS COLOUR  CHALK STICKS,24,12/7/2010 11:33,0.42,17017,United Kingdom
537595,37479B,CUBIC MUG FLOCK BLUE ON BROWN,2,12/7/2010 12:29,2.55,13569,United Kingdom
537601,22988,SOLDIERS EGG CUP ,1,12/7/2010 12:43,1.25,17287,United Kingdom
537609,85152,HAND OVER THE CHOCOLATE   SIGN ,48,12/7/2010 13:22,1.69,17675,United Kingdom
537614,20713,JUMBO BAG OWLS,1,12/7/2010 13:29,1.95,16904,United Kingdom
537622,15056N,EDWARDIAN PARASOL NATURAL,2,12/7/2010 14:30,5.95,13173,United Kingdom
537626,22726,ALARM CLOCK BAKELIKE GREEN,4,12/7/2010 14:57,3.75,12347,Iceland
537638,15060B,FAIRY CAKE DESIGN UMBRELLA,1,12/7/2010 15:28,8.47,,United Kingdom
537638,20712,JUMBO BAG WOODLAND ANIMALS,1,12/7/2010 15:28,4.21,,United Kingdom
537638,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,1,12/7/2010 15:28,5.06,,United Kingdom
537638,22519,CHILDS GARDEN BRUSH PINK,1,12/7/2010 15:28,4.21,,United Kingdom
537638,22684,FRENCH BLUE METAL DOOR SIGN 9,1,12/7/2010 15:28,2.51,,United Kingdom
537640,21240,BLUE POLKADOT CUP,2,12/7/2010 15:31,2.51,,United Kingdom
537640,21427,SKULLS STORAGE BOX SMALL,1,12/7/2010 15:31,5.06,,United Kingdom
537640,21977,PACK OF 60 PINK PAISLEY CAKE CASES,6,12/7/2010 15:31,2.13,,United Kingdom
537640,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,10,12/7/2010 15:31,6.77,,United Kingdom
537641,22891,TEA FOR ONE POLKADOT,1,12/7/2010 15:32,8.47,,United Kingdom
537641,82583,HOT BATHS METAL SIGN,3,12/7/2010 15:32,4.21,,United Kingdom
537646,84944,SET OF 6 KASHMIR FOLKART BAUBLES,1,12/7/2010 15:39,4.25,17591,United Kingdom
537646,21175,GIN + TONIC DIET METAL SIGN,1,12/7/2010 15:39,2.1,17591,United Kingdom
537648,22555,PLASTERS IN TIN STRONGMAN,12,12/7/2010 15:48,1.65,12839,United Kingdom
537666,22736,RIBBON REEL MAKING SNOWMEN ,1,12/7/2010 18:36,3.36,,United Kingdom
537666,84375,SET OF 20 KIDS COOKIE CUTTERS,1,12/7/2010 18:36,4.21,,United Kingdom
